,x,y
0,761,483
1,762,483
2,763,483
3,764,483
4,765,483
5,766,483
6,767,483
7,768,483
8,769,483
9,770,483
10,771,483
11,772,483
12,773,483
13,774,483
14,775,483
15,776,483
16,777,483
17,778,483
18,779,483
19,780,483
20,781,483
21,782,483
22,783,483
23,784,483
24,785,483
25,786,483
26,787,483
27,788,483
28,789,483
29,790,483
30,791,483
31,792,483
32,793,483
33,794,483
34,795,483
35,796,483
36,797,483
37,798,483
38,799,483
39,800,483
40,801,483
41,802,483
42,803,483
43,804,483
44,805,483
45,806,483
46,807,483
47,731,482
48,732,482
49,733,482
50,734,482
51,735,482
52,736,482
53,737,482
54,738,482
55,739,482
56,740,482
57,741,482
58,742,482
59,743,482
60,744,482
61,745,482
62,746,482
63,747,482
64,748,482
65,749,482
66,750,482
67,751,482
68,752,482
69,753,482
70,754,482
71,755,482
72,756,482
73,757,482
74,758,482
75,759,482
76,760,482
77,761,482
78,762,482
79,763,482
80,764,482
81,765,482
82,766,482
83,767,482
84,768,482
85,769,482
86,770,482
87,771,482
88,772,482
89,773,482
90,774,482
91,775,482
92,776,482
93,777,482
94,778,482
95,779,482
96,780,482
97,781,482
98,782,482
99,783,482
100,784,482
101,785,482
102,786,482
103,787,482
104,788,482
105,789,482
106,790,482
107,791,482
108,792,482
109,793,482
110,794,482
111,795,482
112,796,482
113,797,482
114,798,482
115,799,482
116,800,482
117,801,482
118,802,482
119,803,482
120,804,482
121,805,482
122,806,482
123,807,482
124,808,482
125,809,482
126,729,481
127,730,481
128,731,481
129,732,481
130,733,481
131,734,481
132,735,481
133,736,481
134,737,481
135,738,481
136,739,481
137,740,481
138,741,481
139,742,481
140,743,481
141,744,481
142,745,481
143,746,481
144,747,481
145,748,481
146,749,481
147,750,481
148,751,481
149,752,481
150,753,481
151,754,481
152,755,481
153,756,481
154,757,481
155,758,481
156,759,481
157,760,481
158,761,481
159,762,481
160,763,481
161,764,481
162,765,481
163,766,481
164,767,481
165,768,481
166,769,481
167,770,481
168,771,481
169,772,481
170,773,481
171,774,481
172,775,481
173,776,481
174,777,481
175,778,481
176,779,481
177,780,481
178,781,481
179,782,481
180,783,481
181,784,481
182,785,481
183,786,481
184,787,481
185,788,481
186,789,481
187,790,481
188,791,481
189,792,481
190,793,481
191,794,481
192,795,481
193,796,481
194,797,481
195,798,481
196,799,481
197,800,481
198,801,481
199,802,481
200,803,481
201,804,481
202,805,481
203,806,481
204,807,481
205,808,481
206,809,481
207,810,481
208,811,481
209,812,481
210,813,481
211,814,481
212,815,481
213,816,481
214,817,481
215,708,480
216,709,480
217,710,480
218,711,480
219,712,480
220,713,480
221,714,480
222,715,480
223,716,480
224,717,480
225,718,480
226,719,480
227,720,480
228,721,480
229,722,480
230,723,480
231,724,480
232,725,480
233,726,480
234,727,480
235,728,480
236,729,480
237,730,480
238,731,480
239,732,480
240,733,480
241,734,480
242,735,480
243,736,480
244,737,480
245,738,480
246,739,480
247,740,480
248,741,480
249,742,480
250,743,480
251,744,480
252,745,480
253,746,480
254,747,480
255,748,480
256,749,480
257,750,480
258,751,480
259,752,480
260,753,480
261,754,480
262,755,480
263,756,480
264,757,480
265,758,480
266,759,480
267,760,480
268,761,480
269,762,480
270,763,480
271,764,480
272,765,480
273,766,480
274,767,480
275,768,480
276,769,480
277,770,480
278,771,480
279,772,480
280,773,480
281,774,480
282,775,480
283,776,480
284,777,480
285,778,480
286,779,480
287,780,480
288,781,480
289,782,480
290,783,480
291,784,480
292,785,480
293,786,480
294,787,480
295,788,480
296,789,480
297,790,480
298,791,480
299,792,480
300,793,480
301,794,480
302,795,480
303,796,480
304,797,480
305,798,480
306,799,480
307,800,480
308,801,480
309,802,480
310,803,480
311,804,480
312,805,480
313,806,480
314,807,480
315,808,480
316,809,480
317,810,480
318,811,480
319,812,480
320,813,480
321,814,480
322,815,480
323,816,480
324,817,480
325,818,480
326,819,480
327,820,480
328,821,480
329,822,480
330,689,479
331,690,479
332,691,479
333,692,479
334,693,479
335,694,479
336,695,479
337,696,479
338,697,479
339,698,479
340,699,479
341,700,479
342,701,479
343,702,479
